class,采集时间,竖向加速度平均值,竖向加速度标准差
181,2021-04-29 01:10:00.000,-5.829848141199208e-07,0.0005776819401810489
182,2021-04-29 01:20:00.000,-1.5464354606088903e-06,0.006632576769324335
183,2021-04-29 01:30:00.000,1.3840993955020547e-06,0.0008398238811761742
184,2021-04-29 01:40:00.000,2.4459710521406147e-07,0.0024404925625465114
185,2021-04-29 01:50:00.000,4.2841507464024006e-07,0.010605757065627115
186,2021-04-29 02:00:00.000,2.6445971446340388e-06,0.0008769412051614109
187,2021-04-29 02:10:00.000,-1.0197209453246466e-06,0.0030176863751606867
188,2021-04-29 02:20:00.000,-2.1446243348506156e-06,0.0015927472153712523
189,2021-04-29 02:30:00.000,6.9902604163462436e-06,0.005879989602139741
190,2021-04-29 02:40:00.000,-2.9403975576818354e-06,0.00311721803085548
191,2021-04-29 02:50:00.000,3.3156498819413616e-06,0.004784579048049339
192,2021-04-29 03:00:00.000,1.5988099086039027e-06,0.0060671768302559236
193,2021-04-29 03:10:00.000,-1.1902206477066515e-06,0.007201531700380284
194,2021-04-29 03:20:00.000,-6.160199741677548e-08,0.00431220625896738
195,2021-04-29 03:30:00.000,2.5056724747111106e-07,0.006043502091444493
196,2021-04-29 03:40:00.000,1.1596686366589563e-06,0.0031586830849690234
197,2021-04-29 03:50:00.000,3.678227589158748e-06,0.005066553848763594
198,2021-04-29 04:00:00.000,-3.3364783574479562e-06,0.005369611814318671
199,2021-04-29 04:10:00.000,1.4260553357516584e-06,0.0012535138266150183
200,2021-04-29 04:20:00.000,2.5516501639134423e-06,0.005368823019842754
201,2021-04-29 04:30:00.000,9.689727698544166e-08,0.002625284457238124
202,2021-04-29 04:40:00.000,1.4334545320868796e-05,0.003490917871818359
203,2021-04-29 04:50:00.000,1.3561741575683908e-05,0.0053210317792177254
204,2021-04-29 05:00:00.000,2.1381048976181094e-06,0.0006357518227947327
205,2021-04-29 05:10:00.000,1.9071678371072783e-05,0.007721295175583505
206,2021-04-29 05:20:01.000,-9.75891109124794e-06,0.009013213222762655
207,2021-04-29 05:30:00.000,4.9831670714731734e-06,0.006708136586755506
208,2021-04-29 05:40:00.000,-9.841814499375494e-06,0.007239955107294895
209,2021-04-29 05:50:00.000,-2.746446790417926e-06,0.008266871352708163
210,2021-04-29 06:00:01.000,-4.014738241082724e-05,0.0050240691618351945
211,2021-04-29 06:10:00.000,-9.908729107477127e-06,0.005130491712076039
212,2021-04-29 06:20:01.000,-2.9981587671777306e-05,0.007064244142702115
213,2021-04-29 06:30:00.000,5.9191353904156756e-05,0.004946438381843405
214,2021-04-29 06:40:00.000,-3.781615323884687e-06,0.0056310228352994
215,2021-04-29 06:50:00.000,7.2817447597762205e-06,0.005759052594526833
216,2021-04-29 07:00:00.000,2.8685767914647176e-07,0.005798840602982857
217,2021-04-29 07:10:00.000,-4.7009968665718643e-07,0.0038738382715126844
218,2021-04-29 07:20:00.000,-5.7790185523972005e-06,0.005887749659488201
219,2021-04-29 07:30:00.000,-1.579316766119954e-05,0.0031238020714542264
220,2021-04-29 07:40:00.000,-1.040939828483946e-05,0.004703871485925513
221,2021-04-29 07:50:00.000,3.4140337362877462e-06,0.004819569066995548
222,2021-04-29 08:00:00.000,-5.6362281458605265e-06,0.005728062344783504
223,2021-04-29 08:10:00.000,1.5218114987240732e-06,0.0032403677743745975
224,2021-04-29 08:20:00.000,-6.771481766992359e-06,0.00623496217094948
225,2021-04-29 08:30:00.000,-2.975987176956465e-05,0.007772801376671097
226,2021-04-29 08:40:00.000,-3.4618219392597775e-06,0.008745407262277701
227,2021-04-29 08:50:01.000,-3.5750061664341283e-06,0.0032954369019577573
228,2021-04-29 09:00:00.000,1.4560187577676148e-05,0.007456594377516143
229,2021-04-29 09:10:00.000,-4.371357515529076e-05,0.004180352255011834
230,2021-04-29 09:20:00.000,2.1294232589179195e-05,0.006469449991925765
231,2021-04-29 09:30:00.000,-1.0322896979809987e-06,0.007810687115127498
232,2021-04-29 09:40:01.000,5.5709293127263474e-05,0.005605480421212261
233,2021-04-29 09:50:00.000,-2.9348958791391504e-05,0.008216603130794493
234,2021-04-29 10:00:00.000,-7.773329677258968e-05,0.007932919628836334
